# stan_version_major = 2
# stan_version_minor = 9
# stan_version_patch = 0
# model = bernoulli_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
# id = 0 (Default)
# data
#   file = bernoulli.data.R
# init = 2 (Default)
# random
#   seed = 1447660270
# output
#   file = output.csv (Default)
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,n_divergent__,theta
# Adaptation terminated
# Step size = 0.892405
# Diagonal elements of inverse mass matrix:
# 0.459111
-6.9504,0.940668,0.892405,2,3,0,0.176603
-6.75064,0.989442,0.892405,2,3,0,0.25912
-6.74816,0.997978,0.892405,2,3,0,0.247909
-7.10242,0.916241,0.892405,2,3,0,0.155732
-6.75258,0.98188,0.892405,2,3,0,0.262054
-7.08223,0.907863,0.892405,2,3,0,0.158124
-8.01966,0.933024,0.892405,3,7,0,0.473808
-7.44937,1,0.892405,1,1,0,0.413232
-6.7853,1,0.892405,2,3,0,0.216946
-7.16903,0.906394,0.892405,2,3,0,0.374454
-6.93439,1,0.892405,1,1,0,0.33094
-6.77779,0.989013,0.892405,2,3,0,0.281291
-6.7559,1,0.892405,3,7,0,0.234535
-7.60868,0.819202,0.892405,2,3,0,0.113712
-6.75941,0.978671,0.892405,2,3,0,0.231461
-6.78512,0.988954,0.892405,2,3,0,0.285034
-6.77321,1,0.892405,1,1,0,0.278727
-8.00243,0.676451,0.892405,3,7,0,0.0930697
-6.87978,0.982803,0.892405,3,7,0,0.317503
-7.32579,0.934026,0.892405,3,7,0,0.133899
-6.75519,1,0.892405,2,3,0,0.265164
-6.78807,0.986884,0.892405,2,3,0,0.215786
-7.18839,0.90282,0.892405,2,3,0,0.377459
-7.2592,0.993941,0.892405,2,3,0,0.387963
-6.74892,0.989929,0.892405,2,3,0,0.244727
-7.7411,0.7699,0.892405,2,3,0,0.106016
-6.93607,0.975735,0.892405,2,3,0,0.179022
-7.60641,0.849455,0.892405,2,3,0,0.431744
-8.0327,0.890729,0.892405,1,1,0,0.475015
-6.93374,0.862822,0.892405,2,3,0,0.179426
